Date,E*Trade IB,E*Trade ESPP,401K,Fidelity IB,Roth IRA,Savings,Total Value
8/13/23,40.37,1303.79,1489.1,396.87,251.23,689.77,4171.14
8/20/23,41.51,1279.59,1459.26,387.03,251.23,690.24,4108.87
8/27/23,41.7,1309.81,1469.42,392.57,251.23,690.56,4155.29
9/3/23,42.47,1389.37,1514.37,402.95,252.29,696.85,4298.31
9/10/23,42.21,1306.65,1492.34,400.34,252.29,697.1,4190.94
9/17/23,42.32,1283.41,1506.38,402.01,252.29,698.53,4184.93
9/24/23,41.51,1281.79,1465.72,385.91,252.29,701.78,4129.01
10/1/23,41.36,1255.54,1468.65,384.41,254.24,704.53,4108.71
10/8/23,41.28,1301.59,1464.56,390.19,249.7,705.62,4152.95
10/15/23,41.28,1400.99,1485.1,390.22,250.14,706.2,4273.95
10/22/23,40.64,1354.23,1447.45,380.25,243.65,715.55,4181.76
10/29/23,39.33,1317.72,1430.12,370.68,237.01,715.89,4110.76
11/5/23,40.93,1383.76,1514.14,393.51,250.4,719.32,4302.07
11/12/23,40.91,1460.13,1528.75,399.66,250.88,720.75,4401.08
11/19/23,43.55,1485.9,1574.02,408.72,259.0,721.01,4492.2
11/26/23,43.82,1488.1,1597.1,413.17,259.57,726.6,4528.36
12/3/23,44.25,1498.05,1616.54,414.55,262.12,730.57,4566.08
12/10/23,44.15,1533.06,1612.74,416.51,261.89,730.83,4599.18
